time,pm2_5,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,aqi_pm25,aqi_pm10,aqi,temp,rhum,prcp,snwd,wdir,wspd,wpgt,pres,tsun,cldc,coco,hour,day_of_week,day_of_month,month,day_of_year,is_weekend,time_of_day,season,aqi_lag_1h,aqi_lag_3h,aqi_lag_6h,aqi_lag_12h,aqi_lag_24h,pm25_lag_1h,pm25_lag_6h,pm25_lag_24h,aqi_ma_6h,aqi_std_6h,aqi_ma_12h,aqi_std_12h,aqi_ma_24h,aqi_std_24h,pm25_ma_6h,pm25_ma_24h,aqi_category,aqi_color
2025-08-22 00:00:00+00:00,32.4,37.3,42.1,46.0,23.5,192.0,94,35,94,26.6,94.0,0.0,,257.0,16.9,,1001.9,,8.0,3.0,0,4,22,8,234,0,night,summer,94.0,94.0,94.0,94.0,94.0,32.4,32.4,32.4,94.0,1.4142135623730951,94.0,1.4142135623730951,94.0,1.4142135623730951,32.4,32.4,Moderate,yellow
2025-08-22 01:00:00+00:00,33.3,39.8,38.5,55.0,23.5,269.0,96,37,96,26.4,96.0,0.0,,259.0,16.9,,1001.9,,8.0,3.0,1,4,22,8,234,0,night,summer,94.0,94.0,94.0,94.0,94.0,32.4,32.4,32.4,95.0,1.4142135623730951,95.0,1.4142135623730951,95.0,1.4142135623730951,32.849999999999994,32.849999999999994,Moderate,yellow
2025-08-22 02:00:00+00:00,34.8,42.7,33.2,69.0,23.4,380.0,99,40,99,26.8,94.0,0.0,,259.0,16.6,,1002.4,,8.0,3.0,2,4,22,8,234,0,night,summer,96.0,94.0,94.0,94.0,94.0,33.3,32.4,32.4,96.33333333333333,2.516611478423585,96.33333333333333,2.516611478423585,96.33333333333333,2.516611478423585,33.5,33.5,Moderate,yellow
2025-08-22 03:00:00+00:00,32.0,41.7,27.3,83.0,23.0,447.0,93,39,93,27.5,90.0,0.0,,266.0,17.3,,1002.7,,8.0,3.0,3,4,22,8,234,0,night,summer,99.0,94.0,94.0,94.0,94.0,34.8,32.4,32.4,95.5,2.645751311064591,95.5,2.645751311064591,95.5,2.645751311064591,33.125,33.125,Moderate,yellow
2025-08-22 04:00:00+00:00,26.8,35.9,20.3,98.0,22.2,426.0,82,33,82,28.9,81.0,0.1,,261.0,18.0,,1003.1,,3.0,7.0,4,4,22,8,234,0,night,summer,93.0,96.0,94.0,94.0,94.0,32.0,32.4,32.4,92.8,6.457553716385175,92.8,6.457553716385175,92.8,6.457553716385175,31.859999999999996,31.859999999999996,Moderate,yellow
2025-08-22 05:00:00+00:00,24.2,33.4,12.6,113.0,21.0,362.0,76,31,76,29.7,78.0,0.2,,253.0,18.4,,1003.1,,4.0,17.0,5,4,22,8,234,0,night,summer,82.0,99.0,94.0,94.0,94.0,26.8,32.4,32.4,90.0,8.966604708583956,90.0,8.966604708583956,90.0,8.966604708583956,30.583333333333332,30.583333333333332,Moderate,yellow
2025-08-22 06:00:00+00:00,24.0,33.6,6.9,123.0,19.6,313.0,76,31,76,30.5,74.0,0.2,,249.0,19.1,,1003.1,,4.0,17.0,6,4,22,8,234,0,morning,summer,76.0,93.0,94.0,94.0,94.0,24.2,32.4,32.4,87.0,10.276186062932103,88.0,9.746794344808963,88.0,9.746794344808963,29.183333333333334,29.642857142857142,Moderate,yellow
2025-08-22 07:00:00+00:00,23.3,32.7,4.5,126.0,17.7,304.0,75,30,75,31.1,71.0,0.2,,250.0,19.8,,1002.5,,5.0,17.0,7,4,22,8,234,0,morning,summer,76.0,82.0,96.0,94.0,94.0,24.0,33.3,32.4,83.5,10.173494974687902,86.375,10.126873724332274,86.375,10.126873724332274,27.516666666666666,28.849999999999998,Moderate,yellow
2025-08-22 08:00:00+00:00,22.1,31.8,4.0,124.0,15.6,309.0,72,29,72,31.2,72.0,0.2,,249.0,20.9,,1001.8,,8.0,17.0,8,4,22,8,234,0,morning,summer,75.0,76.0,99.0,94.0,94.0,23.3,34.8,32.4,79.0,7.589466384404112,84.77777777777777,10.61576395952945,84.77777777777777,10.61576395952945,25.400000000000002,28.1,Moderate,yellow
2025-08-22 09:00:00+00:00,20.5,30.2,4.4,118.0,13.9,316.0,69,28,69,31.1,72.0,0.1,,246.0,21.6,,1000.8,,8.0,7.0,9,4,22,8,234,0,morning,summer,72.0,76.0,93.0,94.0,94.0,22.1,32.0,32.4,75.0,4.381780460041333,83.2,11.18332091405172,83.2,11.18332091405172,23.483333333333334,27.339999999999996,Moderate,yellow
