feature,importance
pm2_5,0.28862931232912
day_of_year,0.11859131726962707
aqi_ma_12h,0.07612604667873037
aqi,0.05935987490322089
aqi_max_12h,0.05489219129290607
aqi_pm25,0.04925869882221745
pres,0.04634508456235868
pm25_ma_24h,0.04281367453976181
pm10,0.033099534960782384
aqi_ma_3h,0.03253297334607351
pm25_lag_24h,0.02517843741523479
aqi_min_12h,0.021545725290774826
aqi_min_24h,0.020430650905081615
aqi_std_24h,0.01878140728988021
pm25_lag_1h,0.01714171452346645
aqi_ma_24h,0.013184325087828448
aqi_pm10,0.010812801118791633
pm25_lag_2h,0.010468832428909294
aqi_min_3h,0.009359833311663672
aqi_max_6h,0.009207253432410443
aqi_lag_24h,0.008647950986696669
aqi_max_24h,0.007865208507810863
aqi_lag_2h,0.006360324280181973
aqi_lag_1h,0.005039406897900511
aqi_min_6h,0.004971313021156681
pm25_ma_6h,0.003865129056330068
aqi_lag_3h,0.0035770409475109743
pm25_lag_3h,0.001781618566288573
aqi_ma_6h,0.00013231822728411083
aqi_max_3h,0.0
